Status,Reason,Participant_Code,Total_Number_Outage_Events,Sum_Outage_Duration_Time_Days,Year
Approved,Forced,AURICON,208,14.73,2016
Approved,Forced,AUXC,206,16.04,2016
Approved,Forced,COLLGAR,29,11.71,2016
Approved,Forced,DNHR,1,0.40,2016
Approved,Forced,ENRG,21,329.92,2016
Approved,Forced,EUCT,11,107.27,2016
Approved,Forced,GW,317,82.48,2016
Approved,Forced,KORL,53,17.88,2016
Approved,Forced,MCG,1,1.29,2016
Approved,Forced,MELK,157,44.06,2016
Approved,Forced,MUND,4,1.98,2016
Approved,Forced,PJRH,81,24.71,2016
Approved,Forced,PMC,69,22.40,2016
Approved,Forced,PUG,24,22.17,2016
Approved,Forced,STHRNCRS,13,4.29,2016
Approved,Forced,TRMOS,65,11.71,2016
Approved,Forced,TSLA_MGT,2,0.50,2016
Approved,Forced,WGUTD,2,0.04,2016
Approved,Forced,AURICON,490,38.02,2017
Approved,Forced,AUXC,120,1.65,2017
Approved,Forced,COLLGAR,45,44.27,2017
Approved,Forced,DNHR,1,0.48,2017
Approved,Forced,ENRG,7,29.35,2017
Approved,Forced,EUCT,3,0.10,2017
Approved,Forced,GW,227,199.56,2017
Approved,Forced,KORL,76,42.13,2017
Approved,Forced,MCG,12,2.73,2017
Approved,Forced,MELK,177,853.85,2017
Approved,Forced,MUND,15,2.85,2017
Approved,Forced,PJRH,72,31.71,2017
Approved,Forced,PMC,40,1.19,2017
Approved,Forced,PUG,135,24.60,2017
Approved,Forced,STHRNCRS,18,3.85,2017
Approved,Forced,TRMOS,172,6.44,2017
Approved,Forced,TSLA_MGT,4,1.23,2017
Approved,Forced,WGUTD,8,4.67,2017